,0,1,2
0,1,37.519,337671.0
1,2,6.62,19860.0
2,3,24.126,48252.0
3,4,5.379,80685.0
4,5,12.252,49008.0
5,6,4.839,14517.0
6,7,30.92,185520.0
7,8,7.555,30220.0
8,9,2.043,8172.0
9,10,32.031,0.0
10,11,1.359,5436.0
11,12,12.181,182715.0
12,13,25.38,152280.0
13,14,37.921,37921.0
14,15,7.672,107408.0
15,16,34.06,204360.0
16,17,12.022,180330.0
17,18,10.932,163980.0
18,19,5.001,25005.0
19,20,30.481,213367.0
20,21,9.311,46555.0
21,22,3.005,15025.0
22,23,8.648,43240.0
23,24,3.298,16490.0
24,25,20.731,849971.0
25,26,2.527,12635.0
26,27,5.738,40166.0
27,28,3.198,47970.0
28,29,6.45,19350.0
29,30,7.208,28832.0
30,31,26.188,104752.0
31,32,14.007,98049.0
32,33,11.412,22824.0
33,34,18.264,127848.0
34,35,10.363,155445.0
35,36,9.684,48420.0
36,37,18.946,113676.0
37,38,13.08,26160.0
38,39,1.845,11070.0
39,40,1.74,13920.0
40,41,1.689,25335.0
41,42,6.633,19899.0
42,43,59.836,837704.0
43,44,42.97,128910.0
44,45,21.631,497513.0
45,46,29.62,118480.0
46,47,30.276,90828.0
47,48,14.401,72005.0
48,49,42.272,253632.0
49,50,58.92,235680.0
50,51,9.061,45305.0
51,52,18.086,72344.0
52,53,18.761,112566.0
53,54,4.151,20755.0
54,55,16.556,66224.0
55,56,33.789,202734.0
56,57,6.967,62703.0
57,58,17.77,17770.0
58,59,4.945,79120.0
59,60,17.988,71952.0
60,61,7.124,14248.0
61,62,59.428,415996.0
62,63,15.135,242160.0
63,64,24.127,361905.0
64,65,16.251,65004.0
65,66,8.309,33236.0
66,67,5.004,20016.0
67,68,12.759,51036.0
68,69,2.953,14765.0
69,70,9.608,48040.0
70,71,6.601,99015.0
71,72,13.236,66180.0
72,73,6.574,98610.0
73,74,30.96,154800.0
74,75,26.996,404940.0
75,76,39.773,596595.0
76,77,8.892,26676.0
77,78,30.221,151105.0
78,79,52.556,210224.0
79,80,19.217,288255.0
80,81,28.321,84963.0
81,82,24.191,411247.0
82,83,52.908,52908.0
83,84,8.3,124500.0
84,85,18.451,276765.0
85,86,31.527,31527.0
86,87,20.019,60057.0
87,88,12.712,63560.0
88,89,12.263,36789.0
89,90,25.271,25271.0
90,91,28.837,57674.0
91,92,29.834,59668.0
92,93,16.684,116788.0
93,94,31.679,221753.0
94,95,7.387,96031.0
95,96,47.906,47906.0
96,97,22.265,333975.0
97,98,27.696,83088.0
98,99,13.41,53640.0
99,100,12.917,38751.0
100,101,2.274,6822.0
101,102,22.859,22859.0
102,103,11.8,177000.0
103,104,23.171,46342.0
104,105,19.059,266826.0
105,106,23.821,119105.0
106,107,56.021,896336.0
107,108,36.747,257229.0
108,109,14.906,44718.0
109,110,19.224,19224.0
110,111,25.747,25747.0
111,112,26.763,26763.0
112,113,22.905,68715.0
113,114,32.037,416481.0
114,115,20.321,40642.0
115,116,11.12,100080.0
116,117,18.73,74920.0
117,118,14.141,70705.0
118,119,6.866,20598.0
119,120,18.185,309145.0
